ED,POLL NO.,URBAN,BECKLES,BOBB,DHILLON,FIJI,GOEL,MADDEN,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMPTON WEST,,,,,,,,,,,,,,,,,,,,,,,
008,257, ,24,6,61,0,2,0,,,,,,,,,,1,0,0,94,243,"Brampton,Roberta Bondar Public School"
008,258, ,16,10,92,1,6,0,,,,,,,,,,0,0,1,126,347,"Brampton,Hickory Wood Public School"
008,259, ,26,12,98,0,13,1,,,,,,,,,,1,1,0,152,402,"Brampton,Hickory Wood Public School"
008,260, ,29,5,122,1,15,2,,,,,,,,,,0,1,0,175,423,"Brampton,Hickory Wood Public School"
008,261, ,13,9,83,1,2,0,,,,,,,,,,0,0,0,108,279,"Brampton,Pauline Vanier Catholic School"
008,262, ,16,4,142,1,6,0,,,,,,,,,,1,0,0,170,412,"Brampton,Pauline Vanier Catholic School"
008,263, ,29,14,90,0,5,1,,,,,,,,,,0,0,1,140,385,"Brampton,Hickory Wood Public School"
008,264, ,17,7,107,1,7,2,,,,,,,,,,0,0,3,144,425,"Brampton,Pauline Vanier Catholic School"
008,265, ,16,10,169,1,5,0,,,,,,,,,,1,0,0,202,539,"Brampton,Pauline Vanier Catholic School"
008,266, ,9,8,188,1,5,0,,,,,,,,,,0,0,0,211,481,"Brampton,Pauline Vanier Catholic School"
008,267, ,89,22,62,1,23,4,,,,,,,,,,0,3,1,205,406,"Brampton,Huttonville Public School"
008,268, ,33,13,33,0,11,0,,,,,,,,,,5,0,0,95,256,"Brampton,Lionhead Golf and Country Club"
008,269, ,25,24,58,0,5,1,,,,,,,,,,6,0,0,119,343,"Brampton,Roberta Bondar Public School"
008,270, ,56,15,112,1,7,2,,,,,,,,,,0,3,0,196,436,"Brampton,Roberta Bondar Public School"
008,271, ,47,6,100,0,10,2,,,,,,,,,,3,0,0,168,369,"Brampton,Roberta Bondar Public School"
008,272, ,47,11,74,0,12,0,,,,,,,,,,2,0,0,146,388,"Brampton,Lionhead Golf and Country Club"
008,273, ,52,7,68,2,12,1,,,,,,,,,,1,0,0,143,336,"Brampton,Roberta Bondar Public School"
008,274, ,76,12,79,0,7,1,,,,,,,,,,1,0,0,176,507,"Brampton,Lionhead Golf and Country Club"
008,275, ,41,9,43,0,16,4,,,,,,,,,,3,0,0,116,258,"Brampton,Huttonville Public School"
008,276, ,64,17,108,0,9,0,,,,,,,,,,0,0,0,198,508,"Brampton,Lionhead Golf and Country Club"
008,400, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,"Brampton,"
008,401, ,46,16,48,0,5,0,,,,,,,,,,0,0,0,115,414,"Brampton,Agnes Taylor Public School"
008,402, ,14,15,37,1,6,2,,,,,,,,,,1,1,0,77,120,"Brampton,22 Beech Street"
008,403, ,17,10,48,1,10,1,,,,,,,,,,1,2,0,90,294,"Brampton,Sir Winston Churchill Public School"
008,404, ,27,23,35,1,9,1,,,,,,,,,,0,0,0,96,355,"Brampton,Sir Winston Churchill Public School"
008,405, ,48,15,46,0,19,4,,,,,,,,,,0,0,0,132,322,"Brampton,Central Public School Recreation Centre"
008,406, ,54,7,26,0,13,0,,,,,,,,,,3,0,0,103,159,"Brampton,1 Belvedere Court"
008,407, ,12,11,38,1,3,1,,,,,,,,,,4,0,0,70,107,"Brampton,Senior Citizens Apartment"
008,408, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,"Brampton,"
008,409, ,14,12,20,0,6,1,,,,,,,,,,0,0,0,53,149,"Brampton,Union Village"
008,410, ,8,8,13,0,2,0,,,,,,,,,,0,0,0,31,184,"Brampton,Helen Wilson Public School"
008,411, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,"Brampton,"
008,412, ,9,15,48,1,4,1,,,,,,,,,,0,0,0,78,344,"Brampton,McHugh Public School"
008,413, ,48,19,37,1,8,2,,,,,,,,,,1,0,0,116,347,"Brampton,Sir Wilfred Laurier Public School"
008,414, ,45,24,44,0,5,2,,,,,,,,,,0,0,0,120,185,"Brampton,Elder Square Apartment"
008,415, ,28,23,30,3,9,2,,,,,,,,,,0,2,0,97,186,"Brampton,Golfview Towers"
008,416, ,40,11,59,0,8,1,,,,,,,,,,2,0,0,121,183,"Brampton,Pinnacle I"
008,417, ,71,20,38,1,6,1,,,,,,,,,,0,2,0,139,211,"Brampton,Pinnacle II"
008,418, ,56,20,54,0,6,3,,,,,,,,,,3,3,0,145,229,"Brampton,Pinnacle III"
008,419, ,18,15,44,2,10,0,,,,,,,,,,1,2,0,92,308,"Brampton,85 Charolais Boulevard"
008,420, ,26,10,49,0,7,0,,,,,,,,,,0,1,0,93,341,"Brampton,85 Charolais Boulevard"
008,421, ,12,11,28,1,10,0,,,,,,,,,,0,0,0,62,272,"Brampton,85 Charolais Boulevard"
008,422, ,25,15,38,0,10,1,,,,,,,,,,0,0,1,90,260,"Brampton,85 Charolais Boulevard"
008,423, ,33,22,38,0,6,0,,,,,,,,,,11,0,0,110,291,"Brampton,210 Steeles Avenue West"
008,424, ,21,18,52,1,2,0,,,,,,,,,,0,0,0,94,236,"Brampton,220 Steeles Avenue West"
008,425, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,"Brampton,"
008,426, ,87,8,24,0,2,2,,,,,,,,,,0,1,0,124,153,"Brampton,35 Kingknoll Drive"
008,427, ,12,11,32,1,2,0,,,,,,,,,,0,0,0,58,143,"Brampton,7820 McLaughlin Road"
Advance Polls / Bureaux de vote par anticipation,,,,,,,,,,,,,,,,,,,,,,,
008,Advanced Polls /  ADV001, ,621,179,1076,7,121,15,,,,,,,,,,20,7,2,2048,0,"Brampton,Returning Office / Bureau du directeur du scrutin"
008,Advanced Polls /  ADV002, ,342,85,419,4,84,8,,,,,,,,,,3,4,0,949,0,"Brampton,Chris Gibson Recreation Centre"
008,Advanced Polls /  ADV003, ,51,13,194,1,20,2,,,,,,,,,,0,0,0,281,0,"Brampton,Morton Way Public School"
008,Advanced Polls /  ADV004, ,93,31,230,2,9,4,,,,,,,,,,1,2,0,372,0,"Brampton,Fletcher's Meadow Secondary School"
008,Advanced Polls /  ADV005, ,45,10,73,2,4,5,,,,,,,,,,1,0,0,140,0,"Brampton,Burnt Elm Public School"
,,,,,,,,,,,,,,,,,,,,,,,
TOTALS:,, ,15120,4901,20746,185,3471,488,,,,,,,,,,278,142,51,45382,103323,
