ED,POLL NO.,URBAN,DUVALL,KIDD,LAW,PATFIELD,PRUE,TEAHEN ,WHITAKER,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BEACHES--EAST YORK,,,,,,,,,,,,,,,,,
005,437, ,12,0,10,5,51,20,1,,,1,1,0,101,136,"Toronto,Glen Stewart Acres"
005,438, ,18,2,4,3,39,52,2,,,1,1,0,122,197,"Toronto,Cecilia Murphy Building"
005,439, ,4,0,1,0,49,52,0,,,1,0,0,107,192,"Toronto,33 Coatsworth Crescent"
005,440, ,5,0,8,0,16,8,0,,,0,0,0,37,98,"Toronto,Norway Public School"
005,441, ,7,0,4,2,36,21,0,,,7,0,0,77,117,"Toronto,520 Kingston Road"
005,442, ,3,1,1,1,30,9,0,,,1,0,0,46,110,"Toronto,550 Kingston Road"
005,443, ,6,0,4,0,25,14,0,,,0,0,0,49,125,"Toronto,St. John Catholic School"
005,444, ,16,0,17,1,16,31,1,,,2,0,1,85,132,"Toronto,1733 Queen Street"
Advance Polls / Bureaux de vote par anticipation,,,,,,,,,,,,,,,,,
005,Advanced Polls /  ADV001, ,126,3,68,5,323,177,1,,,0,0,2,705,0,"Toronto,Returning Office / Bureau du directeur du scrutin"
005,Advanced Polls /  ADV002, ,158,3,98,4,334,201,1,,,0,4,0,803,0,"Toronto,St. Aidan's Church"
005,Advanced Polls /  ADV003, ,71,3,75,11,399,169,0,,,2,1,0,731,0,"Toronto,Main Square Community Centre"
005,Advanced Polls /  ADV004, ,96,3,73,3,369,140,1,,,3,1,0,689,0,"Toronto,East York Memorial Arena"
,,,,,,,,,,,,,,,,,
TOTALS:,, ,6166,201,4785,515,17522,10215,135,,,203,87,71,39900,73386,
