ED,POLL NO.,URBAN,CULLEN,JEFFREY,MCCLELLAND,ROWLEY,SINGH,TOTEDA,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMPTON--SPRINGDALE,,,,,,,,,,,,,,,,,,,,,,,
007,400, ,12,86,39,2,15,0,,,,,,,,,,2,0,0,156,340,"Brampton,6 Silver Maple Court"
007,401, ,13,63,48,0,11,0,,,,,,,,,,12,0,0,147,289,"Brampton,8 Silver Maple Court"
007,402, ,11,47,23,1,10,1,,,,,,,,,,2,1,0,96,165,"Brampton,9 Lisa Street"
007,403, ,9,49,25,0,13,0,,,,,,,,,,0,0,0,96,217,"Brampton,11 Lisa - Apartment"
007,404, ,12,77,44,3,21,0,,,,,,,,,,1,1,0,159,300,"Brampton,5 Lisa - The Regency Apartment"
007,405, ,18,58,33,0,7,1,,,,,,,,,,0,2,0,119,180,"Brampton,12 Laurelcrest Apartment"
007,406, ,3,52,43,0,16,0,,,,,,,,,,0,0,0,114,177,"Brampton,10 Laurelcrest Apartment"
007,407, ,7,49,36,0,22,2,,,,,,,,,,1,0,0,117,244,"Brampton,4 Silver Maple Court"
007,408, ,6,54,30,1,11,2,,,,,,,,,,0,1,0,105,204,"Brampton,2 Silver Maple Court"
007,409, ,8,70,60,0,12,4,,,,,,,,,,0,2,0,156,266,"Brampton,10 Lisa - Lakewood Apartments"
007,410, ,20,116,62,1,15,1,,,,,,,,,,0,4,0,219,325,"Brampton,8 Lisa Street"
007,411, ,5,71,25,2,21,1,,,,,,,,,,0,0,0,125,279,"Brampton,4 Lisa Street"
007,412, ,12,46,30,3,20,0,,,,,,,,,,1,0,2,114,238,"Brampton,190 Clark Boulevard Apartment"
007,413, ,9,80,48,1,22,1,,,,,,,,,,1,3,0,165,286,"Brampton,3 Lisa - The Oakland Apartment"
007,414, ,9,14,55,2,4,0,,,,,,,,,,3,0,0,87,133,"Brampton,The Heritage Apartment Building"
Advance Polls / Bureaux de vote par anticipation,,,,,,,,,,,,,,,,,,,,,,,
007,Advanced Polls /  ADV001, ,35,335,197,2,80,4,,,,,,,,,,1,1,0,655,0,"Brampton,Returning Office / Bureau du directeur du scrutin"
007,Advanced Polls /  ADV002, ,61,402,288,1,74,2,,,,,,,,,,5,0,0,833,0,"Brampton,Loafer's Lake Recreation Centre"
007,Advanced Polls /  ADV003, ,36,474,204,0,58,2,,,,,,,,,,2,2,0,778,0,"Brampton,Brampton Soccer Centre"
,,,,,,,,,,,,,,,,,,,,,,,
TOTALS:,, ,2292,17673,10708,152,3800,258,,,,,,,,,,264,84,47,35278,81190,
