ED,POLL NO.,URBAN,ALEXANDER,CORNELL,HADSKIS,JAMES,OGILVIE,STERLING,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CARLETON--MISSISSIPPI MILLS,,,,,,,,,,,,,,,,,,,,,,,
013,203, ,0,39,5,1,13,103,,,,,,,,,,0,0,0,161,316,"Stittsville,Stittsville Community Centre"
013,204, ,2,68,10,4,17,86,,,,,,,,,,0,0,0,187,363,"Stittsville,Stittsville Community Centre"
013,205, ,1,52,12,0,19,104,,,,,,,,,,1,0,0,189,368,"Stittsville,Holy Spirit Catholic School"
013,206, ,1,83,23,2,36,123,,,,,,,,,,1,0,0,269,454,"Stittsville,Pretty Street Community Centre"
013,207, ,0,68,6,1,14,94,,,,,,,,,,3,0,0,186,366,"Stittsville,Pretty Street Community Centre"
013,208, ,3,55,14,0,21,105,,,,,,,,,,1,1,0,200,418,"Stittsville,Stittsville Community Centre"
013,209, ,8,84,6,0,13,144,,,,,,,,,,0,1,0,256,485,"Stittsville,Sacred Heart High School"
013,210, ,3,51,20,1,21,108,,,,,,,,,,1,1,0,206,419,"Stittsville,Stittsville Community Centre"
013,211, ,7,71,23,2,21,161,,,,,,,,,,0,1,0,286,504,"Stittsville,Pretty Street Community Centre"
013,212, ,3,93,12,4,23,115,,,,,,,,,,0,0,0,250,471,"Stittsville,Guardian Angels Catholic School"
013,213, ,2,52,19,0,15,52,,,,,,,,,,0,0,0,140,327,"Stittsville,Guardian Angels Catholic School"
013,214, ,2,72,15,2,19,110,,,,,,,,,,0,0,0,220,453,"Stittsville,Guardian Angels Catholic School"
013,215, ,2,54,24,0,40,139,,,,,,,,,,0,0,0,259,495,"Pakenham,Stewart Community Centre"
013,216, ,0,18,1,0,4,29,,,,,,,,,,0,0,0,52,108,"Stittsville,Stittsville Community Centre"
013,217, ,1,23,6,0,4,24,,,,,,,,,,1,0,0,59,111,"Stittsville,Stittsville Community Centre"
013,218, ,1,35,13,1,10,56,,,,,,,,,,0,0,0,116,179,"Stittsville,Guardian Angels Catholic School"
013,219, ,2,56,20,1,30,111,,,,,,,,,,1,0,0,221,396,"Stittsville,Guardian Angels Catholic School"
013,220, ,1,43,11,2,18,103,,,,,,,,,,0,0,0,178,349,"Stittsville,Chapel Ridge Free Methodist Church"
013,221, ,3,39,20,0,38,54,,,,,,,,,,1,0,0,155,290,"Almonte,Almonte District High School"
013,222, ,2,25,16,1,9,72,,,,,,,,,,0,0,0,125,304,"Almonte,Almonte District High School"
013,223, ,2,22,18,1,10,69,,,,,,,,,,0,0,0,122,276,"Almonte,Almonte District High School"
013,224, ,4,61,10,0,48,83,,,,,,,,,,1,0,0,207,438,"Almonte,R. Tait Mckenzie Public School"
013,225, ,5,44,18,1,33,85,,,,,,,,,,0,0,0,186,414,"Almonte,R. Tait Mckenzie Public School"
013,226, ,3,81,19,3,40,182,,,,,,,,,,1,0,0,329,633,"Carp,St. Michael's Catholic Elementary School"
013,227, ,0,46,12,4,13,124,,,,,,,,,,0,0,0,199,428,"Stittsville,A. Lorne Cassidy Elementary School"
013,228, ,3,31,13,3,19,122,,,,,,,,,,0,0,0,191,422,"Richmond,Richmond Community Centre"
013,229, ,3,17,7,0,17,50,,,,,,,,,,0,0,0,94,224,"Clayton,Clayton Recreational Centre"
013,230, ,4,60,24,4,29,75,,,,,,,,,,0,0,0,196,375,"Almonte,Naismith Memorial Public School"
013,231, ,3,41,10,2,18,41,,,,,,,,,,0,0,0,115,218,"Almonte,Naismith Memorial Public School"
013,232, ,3,74,17,3,27,119,,,,,,,,,,0,0,0,243,416,"Almonte,Naismith Memorial Public School"
013,233, ,3,37,9,0,20,73,,,,,,,,,,1,0,0,143,230,"Almonte,Naismith Memorial Public School"
013,234, ,3,34,11,1,24,75,,,,,,,,,,0,0,0,148,329,"Almonte,Almonte District High School"
013,235s, ,2,7,1,1,0,18,,,,,,,,,,1,1,0,31,102,"Almonte,Fairview Manor & Almonte Hospital"
013,236, ,0,55,16,1,23,70,,,,,,,,,,1,0,0,166,343,"Almonte,Naismith Memorial Public School"
013,237s, ,1,5,2,0,1,11,,,,,,,,,,2,0,1,23,80,"Almonte,Almonte Country Haven"
013,238s, ,0,2,1,1,0,9,,,,,,,,,,0,2,0,15,56,"Almonte,Fairview Manor & Almonte Hospital"
013,239, ,1,30,9,1,19,47,,,,,,,,,,0,0,0,107,292,"Almonte,Naismith Memorial Public School"
013,240, ,0,40,5,1,7,72,,,,,,,,,,1,0,0,126,245,"Richmond,Richmond Community Centre"
013,241s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Richmond,"
013,242s, ,0,2,2,0,0,12,,,,,,,,,,0,1,0,17,39,"Richmond,Richmond Lodge"
013,243s, ,1,2,1,0,0,19,,,,,,,,,,1,0,0,24,39,"Richmond,Goodwood Apartments"
013,244, ,1,27,9,0,15,42,,,,,,,,,,1,0,0,95,147,"Richmond,Richmond Community Centre"
013,245, ,1,38,23,3,19,91,,,,,,,,,,0,0,0,175,350,"Richmond,St. John's Anglican Church Hall"
013,246, ,3,56,13,3,22,110,,,,,,,,,,1,0,1,209,408,"Richmond,Richmond Community Centre"
013,247, ,4,43,15,2,19,106,,,,,,,,,,1,0,0,190,417,"Richmond,Richmond Community Centre"
013,248, ,1,36,6,0,12,89,,,,,,,,,,0,0,0,144,277,"Richmond,St. John's Anglican Church Hall"
013,249, ,5,37,14,0,19,116,,,,,,,,,,0,0,0,191,382,"Richmond,St. John's Anglican Church Hall"
013,250, ,1,37,15,2,24,97,,,,,,,,,,0,0,0,176,323,"Clayton,Clayton Recreational Centre"
013,251, ,1,23,15,0,11,44,,,,,,,,,,4,0,0,98,209,"Almonte,Naismith Memorial Public School"
013,252, ,0,23,2,0,12,53,,,,,,,,,,2,0,0,92,222,"Almonte,R. Tait Mckenzie Public School"
013,253, ,2,55,12,1,27,144,,,,,,,,,,0,0,0,241,464,"Munster,Munster Community Centre"
013,254, ,4,46,9,1,14,75,,,,,,,,,,0,0,0,149,265,"Richmond,St. John's Anglican Church Hall"
013,255, ,3,78,20,5,36,181,,,,,,,,,,0,0,0,323,640,"Carleton Place,Olde Barracks Mississippi School"
013,256, ,3,24,12,3,23,139,,,,,,,,,,0,1,1,206,396,"Munster,Munster Community Centre"
013,257, ,2,59,32,1,29,147,,,,,,,,,,1,2,0,273,466,"Munster,Munster United Church"
013,258, ,3,71,25,1,23,119,,,,,,,,,,0,0,0,242,449,"Munster,Munster United Church"
013,259, ,6,57,14,0,16,100,,,,,,,,,,2,1,0,196,362,"Richmond,St. John's Anglican Church Hall"
013,260A, ,0,26,18,0,23,73,,,,,,,,,,0,1,0,141,296,"Clayton,Clayton Recreational Centre"
013,260B, ,0,22,6,2,22,62,,,,,,,,,,0,0,0,114,289,"Clayton,Clayton Recreational Centre"
