ED,POLL NO.,URBAN,FERGUSON,LEVAC,MCCREARY,SHELEGY,TURMEL,VAN TILBORG,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRANT,,,,,,,,,,,,,,,,,,,,,,,
009,403, ,0,73,30,0,3,13,,,,,,,,,,2,1,0,122,158,"Brantford,Tower Village Apartments"
009,404, ,1,55,22,2,0,13,,,,,,,,,,2,0,0,95,139,"Brantford,Brierwood Place Apartments"
009,405, ,2,76,42,2,1,21,,,,,,,,,,0,1,0,145,196,"Brantford,Lynden Manor Apartments"
009,406, ,2,47,13,3,5,37,,,,,,,,,,0,0,0,107,159,"Brantford,Lorne Towers Apartments"
009,407, ,1,71,18,8,4,35,,,,,,,,,,2,0,0,139,196,"Brantford,Brant Towers"
009,409, ,0,32,14,6,1,12,,,,,,,,,,0,1,0,66,120,"Brantford,Centennial Towers Apartments"
009,410, ,4,33,10,5,0,9,,,,,,,,,,0,0,0,61,142,"Brantford,Slovak Village"
009,Advanced Polls /  ADV001, ,21,1075,622,105,8,187,,,,,,,,,,4,0,1,2023,0,"Brantford,Returning Office / Bureau du directeur du scrutin"
009,Advanced Polls /  ADV002, ,5,361,171,30,2,93,,,,,,,,,,1,1,0,664,0,"Brantford,Woodman Park Community Centre"
009,Advanced Polls /  ADV003, ,2,219,106,28,0,60,,,,,,,,,,2,2,0,419,0,"Brantford,Eagle Place Community Centre"
009,Advanced Polls /  ADV004, ,2,148,82,16,2,23,,,,,,,,,,1,0,0,274,0,"Burford,Blessed Sacrament Parish"
009,Advanced Polls /  ADV005, ,2,260,145,43,3,40,,,,,,,,,,1,1,0,495,0,"Paris,Paris Fairgrounds"
,,,,,,,,,,,,,,,,,,,,,,,
TOTALS:,, ,403,23485,13787,3272,289,6536,,,,,,,,,,225,85,39,48121,91333,
