ED,POLL NO.,URBAN,ASHE,CARVALHO,DICKSON,THAVARAJASOORIER,WILLERT,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
AJAX--PICKERING,,,,,,,,,,,,,,,,,,,,,,,
001,120,,60,2,103,17,27,,,,,,,,,,,0,0,1,210,424,St. Andrews Community Centre Ajax
001,121A,,49,1,78,18,22,,,,,,,,,,,0,1,0,169,340,St. Andrews Community Centre Ajax
001,121B,,47,0,75,17,3,,,,,,,,,,,0,0,0,142,326,St. Andrews Community Centre Ajax
001,122,,60,2,102,18,16,,,,,,,,,,,1,2,0,201,603,Carruthers Creek Public School Ajax
001,123,,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Ajax
001,124A,,40,2,45,9,15,,,,,,,,,,,2,0,0,113,220,Herongate Barn Theatre Locust Hill
001,124B,,32,3,31,1,23,,,,,,,,,,,0,0,0,90,219,Herongate Barn Theatre Locust Hill
001,125,,61,3,106,16,12,,,,,,,,,,,0,0,0,198,529,Pine Ridge Secondary School Pickering
001,126,,97,2,65,9,11,,,,,,,,,,,0,2,0,186,423,Pine Ridge Secondary School Pickering
001,127,,98,0,105,17,8,,,,,,,,,,,1,0,0,229,523,Pine Ridge Secondary School Pickering
001,128,,83,0,129,9,14,,,,,,,,,,,1,0,0,236,461,Maple Ridge Public School Pickering
001,129,,84,2,105,18,12,,,,,,,,,,,1,2,0,224,439,Pine Ridge Secondary School Pickering
001,130,,76,4,97,15,19,,,,,,,,,,,0,0,0,211,445,Maple Ridge Public School Pickering
001,131A,,55,2,62,9,13,,,,,,,,,,,1,0,0,142,266,Maple Ridge Public School Pickering
001,131B,,50,2,73,11,13,,,,,,,,,,,0,3,0,152,296,Maple Ridge Public School Pickering
001,132,,54,0,87,11,13,,,,,,,,,,,0,0,0,165,490,St. Anthony Daniel Catholic School Pickering
001,133,,35,0,48,10,7,,,,,,,,,,,1,0,0,101,223,St. Anthony Daniel Catholic School Pickering
001,134s,,38,4,43,14,0,,,,,,,,,,,0,0,0,99,282,Village Retirement Centre Pickering
001,135,,43,6,52,14,21,,,,,,,,,,,1,0,0,137,413,Pickering Recreation Complex Pickering
001,136,,54,2,96,16,18,,,,,,,,,,,1,1,0,188,418,St. Anthony Daniel Catholic School Pickering
001,137A,,39,1,52,16,4,,,,,,,,,,,1,0,0,113,328,Pickering Recreation Complex Pickering
001,137B,,22,1,62,22,9,,,,,,,,,,,0,0,0,116,375,Pickering Recreation Complex Pickering
001,138,,33,0,58,20,5,,,,,,,,,,,0,0,0,116,378,Pickering High School Ajax
001,139,,25,1,72,12,6,,,,,,,,,,,0,0,0,116,439,Pickering High School Ajax
001,140,,23,2,56,5,10,,,,,,,,,,,0,0,0,96,314,Pickering High School Ajax
001,141,,50,2,94,14,21,,,,,,,,,,,1,0,0,182,371,Lincoln Avenue Public School Ajax
001,142,,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Ajax
001,143s,,19,2,43,5,0,,,,,,,,,,,0,0,0,69,99,Ashley Manor Ajax
001,144,,40,2,58,12,10,,,,,,,,,,,0,0,0,122,294,St. Andrews Community Centre Ajax
001,145,,23,2,27,14,4,,,,,,,,,,,0,0,0,70,225,Ajax High School Ajax
001,146s,,55,2,93,21,21,,,,,,,,,,,5,1,0,198,306,66 Falby Court Ajax
001,147,,66,2,69,26,17,,,,,,,,,,,0,0,0,180,361,Ajax High School Ajax
001,148,,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Ajax
001,149,,46,4,77,11,25,,,,,,,,,,,0,0,1,164,405,Ajax High School Ajax
001,150,,54,0,59,20,11,,,,,,,,,,,0,0,0,144,411,Ajax High School Ajax
001,151A,,32,0,45,14,6,,,,,,,,,,,0,0,0,97,276,Ajax High School Ajax
001,151B,,40,1,42,5,9,,,,,,,,,,,0,0,0,97,281,Ajax High School Ajax
001,152,,79,1,87,20,15,,,,,,,,,,,0,0,0,202,413,Carruthers Creek Public School Ajax
001,153,,41,2,79,19,6,,,,,,,,,,,0,0,0,147,375,Ajax High School Ajax
001,154,,56,0,76,5,13,,,,,,,,,,,0,0,1,151,336,Carruthers Creek Community Church Ajax
001,155,,49,0,78,20,16,,,,,,,,,,,0,0,0,163,294,Carruthers Creek Community Church Ajax
001,156,,58,1,63,9,5,,,,,,,,,,,0,0,0,136,380,Maple Ridge Public School Pickering
001,157,,114,1,95,14,12,,,,,,,,,,,0,0,0,236,465,Maple Ridge Public School Pickering
001,158A,,63,1,81,12,17,,,,,,,,,,,0,0,0,174,359,Pickering Recreation Complex Pickering
001,158B,,45,1,72,17,13,,,,,,,,,,,0,2,0,150,340,Pickering Recreation Complex Pickering
001,159,,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0, Pickering
001,159-1s,,5,0,16,4,1,,,,,,,,,,,0,0,0,26,29,Chartwell Senior Housing Pickering
001,160,,41,3,98,21,12,,,,,,,,,,,1,0,0,176,449,Pickering Recreation Complex Pickering
001,161s,,11,1,11,2,3,,,,,,,,,,,2,1,0,31,68,The Parkway Retirement Home Pickering
001,162,,27,0,45,11,8,,,,,,,,,,,0,0,0,91,268,Pickering Recreation Complex Pickering
001,163A,,61,2,77,20,12,,,,,,,,,,,4,0,0,176,312,Ajax Community Centre Ajax
