ED,POLL NO.,URBAN,CAPLAN,HAITAS,HYNES,KARGIANNAKIS,KENNEDY,KIDD,SIMMONS,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
DON VALLEY EAST,,,,,,,,,,,,,,,,,,,,,,,
016,030, ,127,18,19,3,43,0,1,,,,,,,,,1,0,0,212,465,"Toronto,St. Gerald Separate School"
016,031, ,119,20,18,5,61,2,0,,,,,,,,,0,1,1,227,492,"Toronto,St. Gerald Separate School"
016,032, ,138,18,18,4,37,0,0,,,,,,,,,0,4,2,221,431,"Toronto,St. Gerald Separate School"
016,033, ,120,15,14,1,49,0,0,,,,,,,,,0,0,0,199,450,"Toronto,Dallington Public School"
016,034, ,110,20,10,5,75,2,2,,,,,,,,,0,0,0,224,420,"Toronto,Dallington Public School"
016,035, ,190,23,34,0,53,2,0,,,,,,,,,1,1,0,304,671,"Toronto,Dallington Public School"
016,036, ,82,6,21,0,6,2,1,,,,,,,,,1,1,0,120,299,"Toronto,Kingslake Public School"
016,037, ,91,10,7,0,40,0,0,,,,,,,,,0,0,1,149,340,"Toronto,Muirhead Public School"
016,038, ,109,15,16,2,34,0,0,,,,,,,,,1,1,0,178,386,"Toronto,Muirhead Public School"
016,039, ,96,22,13,0,53,0,0,,,,,,,,,1,0,0,185,410,"Toronto,Dallington Public School"
016,040s, ,42,5,7,0,28,0,0,,,,,,,,,1,1,0,84,200,"Toronto,Senior's Health Centre (North York Hospital)"
016,041, ,118,7,15,4,84,4,1,,,,,,,,,2,1,0,236,461,"Toronto,Dallington Public School"
016,042, ,60,8,18,2,52,0,0,,,,,,,,,0,0,0,140,281,"Toronto,Shaughnessy Public School"
016,043, ,44,8,9,0,7,0,0,,,,,,,,,0,0,0,68,231,"Toronto,Forest Manor Public School"
016,044, ,35,2,15,0,9,4,0,,,,,,,,,0,0,0,65,211,"Toronto,Forest Manor Public School"
016,045, ,143,7,23,4,53,0,0,,,,,,,,,5,0,0,235,397,"Toronto,St. Gerald Separate School"
016,046s, ,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 40s ----------,,,,,,,,,,,,,,,,,,,,"Toronto,North York General Hospital"
016,047, ,56,13,16,2,87,0,0,,,,,,,,,1,0,0,175,354,"Toronto,Shaughnessy Public School"
016,048, ,119,17,21,4,108,0,1,,,,,,,,,3,0,0,273,468,"Toronto,Shaughnessy Public School"
016,049, ,95,4,21,2,30,1,0,,,,,,,,,0,1,0,154,336,"Toronto,Forest Manor Public School"
016,050, ,119,16,7,3,66,0,0,,,,,,,,,1,0,0,212,395,"Toronto,Shaughnessy Public School"
016,051, ,80,3,19,0,13,0,1,,,,,,,,,0,0,0,116,247,"Toronto,Forest Manor Public School"
016,052, ,102,13,19,4,47,1,0,,,,,,,,,1,2,0,189,465,"Toronto,Donview Middle School"
016,053, ,121,8,31,3,70,1,0,,,,,,,,,0,1,0,235,526,"Toronto,Roywood Public School"
016,054, ,126,12,18,1,56,1,1,,,,,,,,,0,0,0,215,456,"Toronto,Roywood Public School"
016,055, ,105,18,18,3,46,2,0,,,,,,,,,0,2,0,194,438,"Toronto,Roywood Public School"
016,056, ,65,16,8,0,30,2,0,,,,,,,,,1,2,0,124,290,"Toronto,Donview Middle School"
016,057, ,145,13,21,2,60,2,1,,,,,,,,,1,1,0,246,456,"Toronto,Donview Middle School"
016,058, ,33,9,13,1,24,2,0,,,,,,,,,1,0,0,83,248,"Toronto,Donview Middle School"
016,059, ,62,5,12,0,31,1,0,,,,,,,,,2,0,0,113,315,"Toronto,Roywood Public School"
016,060, ,39,1,23,0,15,2,0,,,,,,,,,0,0,0,80,231,"Toronto,Brookbanks Public Library"
016,061, ,25,9,14,0,13,0,0,,,,,,,,,0,0,0,61,202,"Toronto,Brookbanks Public Library"
016,062, ,104,5,13,3,50,0,2,,,,,,,,,0,0,0,177,416,"Toronto,Roywood Public School"
016,063s, ,9,0,2,1,7,0,0,,,,,,,,,1,0,0,20,30,"Toronto,Meadowcroft Place Retirement Centre"
016,064, ,57,2,11,0,12,0,1,,,,,,,,,1,0,0,84,296,"Toronto,Victoria Park Collegiate Institute"
016,065, ,109,19,13,2,85,0,0,,,,,,,,,0,0,0,228,446,"Toronto,Rene Gordon Elementary School"
016,066, ,79,29,31,1,58,0,0,,,,,,,,,0,0,0,198,374,"Toronto,Rene Gordon Elementary School"
016,067, ,48,3,11,0,16,1,0,,,,,,,,,0,0,0,79,327,"Toronto,Donview Middle School"
016,068, ,39,6,13,0,24,1,0,,,,,,,,,2,1,0,86,260,"Toronto,Victoria Park Collegiate Institute"
016,069, ,114,17,9,1,65,2,0,,,,,,,,,1,1,0,210,398,"Toronto,Victoria Park Collegiate Institute"
016,070, ,32,3,6,1,10,0,0,,,,,,,,,0,0,0,52,244,"Toronto,Victoria Park Collegiate Institute"
016,071, ,34,3,3,0,9,0,2,,,,,,,,,0,0,0,51,176,"Toronto,Brookbanks Public Library"
016,072, ,49,6,6,2,19,0,0,,,,,,,,,1,0,0,83,259,"Toronto,Victoria Park Collegiate Institute"
016,073, ,120,14,32,3,36,0,0,,,,,,,,,2,2,0,209,469,"Toronto,Victoria Park Collegiate Institute"
016,074, ,95,24,15,8,105,0,0,,,,,,,,,0,0,0,247,450,"Toronto,Rene Gordon Elementary School"
016,075, ,104,20,15,1,87,1,1,,,,,,,,,0,0,0,229,410,"Toronto,Three Valleys Public School"
016,076, ,54,12,12,1,31,0,0,,,,,,,,,0,0,0,110,327,"Toronto,Victoria Park Collegiate Institute"
016,077, ,83,8,16,1,36,0,0,,,,,,,,,0,0,0,144,301,"Toronto,Victoria Park Collegiate Institute"
016,078, ,113,12,16,2,78,0,0,,,,,,,,,2,0,0,223,394,"Toronto,Three Valleys Public School"
016,079, ,41,6,19,1,31,0,2,,,,,,,,,0,0,0,100,331,"Toronto,Ranchdale Public School"
016,080, ,80,6,13,0,62,0,0,,,,,,,,,0,0,0,161,315,"Toronto,Cassandra Public School"
016,081, ,99,13,18,3,98,0,0,,,,,,,,,0,0,1,232,377,"Toronto,Ranchdale Public School"
016,082, ,83,16,28,2,60,0,1,,,,,,,,,1,1,2,194,453,"Toronto,Ranchdale Public School"
016,083, ,86,5,17,0,76,5,0,,,,,,,,,0,0,0,189,335,"Toronto,Ranchdale Public School"
016,084, ,46,0,16,0,20,2,0,,,,,,,,,0,0,0,84,328,"Toronto,Cassandra Public School"
016,085, ,105,12,12,2,105,0,0,,,,,,,,,0,0,0,236,381,"Toronto,Cassandra Public School"
016,086, ,100,11,22,2,65,2,2,,,,,,,,,2,1,0,207,385,"Toronto,Ranchdale Public School"
016,087, ,118,19,17,1,111,0,0,,,,,,,,,0,0,0,266,423,"Toronto,Three Valleys Public School"
016,088, ,134,21,18,10,82,0,0,,,,,,,,,0,0,0,265,483,"Toronto,Cassandra Public School"
016,089, ,92,8,16,6,33,2,0,,,,,,,,,0,0,0,157,333,"Toronto,Cassandra Public School"
016,090, ,113,16,3,0,95,2,0,,,,,,,,,0,2,1,232,377,"Toronto,St. Catherine Separate School"
016,091, ,122,14,24,4,74,1,1,,,,,,,,,2,0,1,243,429,"Toronto,St. Catherine Separate School"
016,092, ,109,6,13,0,56,2,0,,,,,,,,,0,0,0,186,377,"Toronto,St. Catherine Separate School"
016,093, ,83,20,14,6,64,0,1,,,,,,,,,0,1,0,189,372,"Toronto,Don Mills Middle School"
016,094, ,71,5,23,2,47,0,0,,,,,,,,,3,0,0,151,298,"Toronto,St. Catherine Separate School"
016,095, ,52,3,15,3,15,0,0,,,,,,,,,0,0,0,88,239,"Toronto,St. Catherine Separate School"
016,096, ,59,17,17,0,39,0,1,,,,,,,,,0,0,0,133,298,"Toronto,St. Catherine Separate School"
016,097, ,72,6,9,0,22,0,0,,,,,,,,,0,0,0,109,253,"Toronto,Don Mills Middle School"
016,098, ,36,5,16,0,17,0,0,,,,,,,,,0,0,0,74,193,"Toronto,Don Mills Middle School"
016,099, ,50,12,10,7,32,1,0,,,,,,,,,2,1,0,115,244,"Toronto,Don Mills Middle School"
016,100, ,95,14,15,5,77,4,0,,,,,,,,,0,0,0,210,351,"Toronto,St. Catherine Separate School"
016,101, ,112,17,21,10,75,0,0,,,,,,,,,1,0,1,237,441,"Toronto,Victoria Village Public School"
016,102, ,100,5,13,4,51,0,1,,,,,,,,,0,0,0,174,384,"Toronto,Victoria Village Public School"
016,103, ,38,4,17,1,23,0,0,,,,,,,,,1,0,0,84,170,"Toronto,Don Mills Middle School"
