ED,POLL NO.,URBAN,CARMICHAEL,HEALEY,MARTINIUK,MCGARRY,VANDERVET,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CAMBRIDGE,,,,,,,,,,,,,,,,,,,,,,,
012,122, ,11,8,94,83,2,,,,,,,,,,,0,0,0,198,371,"Cambridge,Saginaw Public School"
012,123, ,15,11,74,54,2,,,,,,,,,,,1,0,0,157,350,"Cambridge,Grand View Public School"
012,124, ,6,13,43,26,2,,,,,,,,,,,0,0,0,90,287,"Cambridge,Community Living Cambridge"
012,125s, ,4,12,34,21,0,,,,,,,,,,,0,0,0,71,151,"Cambridge,Riverbend Place"
012,126, ,12,15,97,69,1,,,,,,,,,,,1,1,0,196,418,"Cambridge,Community Living Cambridge"
012,127, ,13,21,49,40,1,,,,,,,,,,,0,1,0,125,353,"Cambridge,Avenue Road Public School"
012,128, ,6,20,31,30,4,,,,,,,,,,,0,2,0,93,278,"Cambridge,Avenue Road Public School"
012,129, ,6,39,41,32,2,,,,,,,,,,,0,1,0,121,302,"Cambridge,St. Peter Elementary School"
012,130, ,4,17,39,33,2,,,,,,,,,,,0,0,0,95,258,"Cambridge,Avenue Road Public School"
012,131, ,13,22,62,51,3,,,,,,,,,,,1,1,0,153,366,"Cambridge,Avenue Road Public School"
012,132, ,14,29,59,34,5,,,,,,,,,,,1,1,0,143,326,"Cambridge,Elgin Street Public School"
012,133, ,16,15,60,40,6,,,,,,,,,,,3,2,0,142,373,"Cambridge,St. Peter Elementary School"
012,134, ,5,31,52,40,3,,,,,,,,,,,0,0,0,131,385,"Cambridge,Elgin Street Public School"
012,135, ,5,10,62,55,0,,,,,,,,,,,2,0,0,134,365,"Cambridge,St. Peter Elementary School"
012,136, ,2,11,24,43,0,,,,,,,,,,,0,1,0,81,250,"Cambridge,Slovak Villa"
012,137, ,14,10,72,60,1,,,,,,,,,,,0,0,0,157,294,"Cambridge,St. Margaret of Scotland Elementary School"
012,138, ,24,17,74,53,3,,,,,,,,,,,0,0,0,171,302,"Cambridge,Clyde & Scott Women's Institute"
012,139, ,19,12,105,55,3,,,,,,,,,,,0,0,0,194,338,"Cambridge,Blair Outdoor Education Centre"
012,140, ,18,14,88,93,4,,,,,,,,,,,1,0,0,218,385,"Cambridge,St. Augustine Elementary School"
012,141, ,24,24,104,78,2,,,,,,,,,,,1,0,0,233,422,"Cambridge,St. Augustine Elementary School"
012,142, ,16,24,71,82,1,,,,,,,,,,,0,0,0,194,365,"Cambridge,St. Augustine Elementary School"
